Cikk neve,Vonalkód,Cikkszám,Rövid név,Vtsz/Szj,Egység,ÁFA,Nettó Alapár(Ft),Bruttó Alapár(Ft),Nettó Alapár(EUR),Bruttó Alapár(EUR),Csoport
Előleg,,01000#,Előleg,,,27%,"0,00","0,00","0,00","0,00",
Postaköltség,,01001#,Postaköltség,,db,27%,"2 800,00","3 556,00","0,00","0,00",
"Csomagolás, szállítás",,01144#,,,db,27%,"3 000,00","3 810,00","10,00","12,70",
"Csomagolás, szállítás",,01145#,,,db,27%,"2 000,00","2 540,00","8,00","10,16",
Versand-und Verpackungs,,01148#,,,db,0%,"0,00","0,00","70,00","70,00",
Szállítás,,01155#,,,db,0%,"0,00","0,00","70,00","70,00",
Perma Classic SF00,,100002,,84798997,db,27%,"5 100,00","6 477,00","15,44","19,61",
Perma Classic SF01,,100020,,84798997,db,27%,"5 300,00","6 731,00","17,02","21,62",
Perma Classic SF02,,100034,,84798997,db,27%,"5 900,00","7 493,00","18,30","23,24",
Perma Classic SF03,,100045,,84798997,db,27%,"9 600,00","12 192,00","28,85","36,64",
Perma Classic SF04,,100052,,84798997,db,27%,"6 050,00","7 683,50","18,87","23,96",
Perma Classic SF05,,100063,,84798997,db,27%,"6 100,00","7 747,00","18,90","24,00",
"Verlengerung G1/4""x 115 mm",,10006648 A,,730792,db,0%,"1 700,00","1 700,00","3,30","3,30",
"Verlengerung G1/4"" x 75",,10006649 A,,730792,db,0%,"0,00","0,00","2,10","2,10",
Perma Classic SF06,,100074,,84798997,db,27%,"5 750,00","7 302,50","17,91","22,75",
Perma Classic SF08,,100083,,84798997,db,27%,"8 600,00","10 922,00","26,61","33,79",
Perma Classic SF09,,100089,,84798997,db,27%,"6 600,00","8 382,00","23,38","29,69",
Perma Classic SF10,,100096,,84798997,db,27%,"6 500,00","8 255,00","20,23","25,69",
Perma Classic SO14,,100427,,84798997,db,27%,"6 250,00","7 937,50","19,40","24,64",
Perma Classic SO32,,100449,,84798997,db,27%,"5 700,00","7 239,00","17,70","22,48",
Perma Classic SO64,,100473,,84798997,db,27%,"6 800,00","8 636,00","21,11","26,81",
Perma Classic SO69,,100483,,84798997,db,27%,"6 450,00","8 191,50","20,07","25,49",
Perma Classic SO70,,100489,,84798997,db,27%,"6 750,00","8 572,50","21,00","26,67",
Perma Star LC M120 SF01,,100724,,27101999,db,27%,"4 700,00","5 969,00","14,56","18,49",
Perma Star LC M120 SF02,,100733,,27101999,db,27%,"5 300,00","6 731,00","17,05","21,65",
Perma Star LC M120 SF03,,100739,,27101999,db,27%,"8 900,00","11 303,00","26,10","33,15",
Perma Star LC M120 SF04,,100744,,27101999,db,27%,"5 450,00","6 921,50","16,80","21,34",
Perma Star LC M120 SF05,,100750,,27101999,db,27%,"5 500,00","6 985,00","16,90","21,46",
Perma Star LC M120 SF06,,100755,,27101999,db,27%,"5 200,00","6 604,00","16,76","21,29",
Perma Star LC M120 SF08,,100762,,27101999,db,27%,"7 900,00","10 033,00","24,40","30,99",
Perma Star LC M120 SF09,,100766,,27101999,db,27%,"5 950,00","7 556,50","18,29","23,23",
Perma Star LC M120 SF10,,100770,,27101999,db,27%,"5 900,00","7 493,00","18,07","22,95",
Perma Star LC M120 SF37 (Optilieb VAS),,100808,,27101999,db,27%,"5 850,00","7 429,50","0,00","0,00",
Perma Star LC M120 S162 (ISOFLEX LDS 18 SPECIAL A,,100911,,34031980,db,27%,"14 000,00","17 780,00","42,81","54,37",
Perma Star LC M120  Classida Grease EPS1 (S317),,101017,,27101999,db,27%,"7 200,00","9 144,00","0,00","0,00",
Perma Star LC M120 SO14,,101096,,27101999,db,27%,"5 650,00","7 175,50","17,37","22,06",
Perma Star LC M120 SO32,,101117,,27101999,db,27%,"5 100,00","6 477,00","15,73","19,98",
Perma Star LC M120 SO64,,101137,,27101999,db,27%,"6 200,00","7 874,00","19,03","24,17",
Perma Star LC M120 SO69,,101145,,27101999,db,27%,"5 850,00","7 429,50","18,00","22,86",
Perma Star LC M120 SO70,,101148,,27101999,db,27%,"6 150,00","7 810,50","18,92","24,03",
Indítócsavar 1 hó,,101331,,84798997,db,27%,"550,00","698,50","1,75","2,22",
Indítócsavar 3 hó,,101332,,84798997,db,27%,"550,00","698,50","1,75","2,22",
Indítócsavar 6 hó,,101333,,84798997,db,27%,"550,00","698,50","1,75","2,22",
Indítócsavar 12 hó,,101335,,84798997,db,27%,"550,00","698,50","1,75","2,22",
